Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
JuJu Smith-Schuster,WR134,WR,KCC,1281,28.4,No,WR135,1095,,0
Chris Rodriguez,RB94,RB,WAS,1280,25.6,No,RB93,1100,,0
Tyler Lockett,WR135,WR,FA,1279,32.6,No,WR136,1092,,0
Will Howard,QB42,QB,FA,1271,-1.0,Yes,QB45,1659,,0
Rasheen Ali,RB95,RB,BAL,1270.99,24.2,No,RB94,1087,,0
Brevin Jordan,TE55,TE,HOU,1268,24.8,No,TE55,1104,,0
Gunnar Helm,TE56,TE,FA,1259,-1.0,Yes,TE57,1033,,0
2027 Late 4th,,PI,,1257,,,,1159,,0
Demarcus Robinson,WR136,WR,SFO,1237,30.6,No,WR131,1210,,0
Xavier Gipson,WR137,WR,NYJ,1219,24.1,No,WR137,1066,,0
Malik Willis,QB43,QB,GBP,1196,25.9,No,QB42,1681.99,,0
Tyler Goodson,RB96,RB,IND,1194,24.4,No,RB98,1026,,0
Frank Gore Jr.,RB97,RB,BUF,1190,23.1,No,RB95,1070,,0
Johnny Wilson,WR138,WR,PHI,1189,24.0,No,WR138,1063,,0
Mack Hollins,WR139,WR,NEP,1182,31.6,No,WR139,1032.99,,0
Aaron Rodgers,QB44,QB,NYJ,1174,41.4,No,QB43,1672.99,,0
KaVontae Turpin,WR140,WR,DAL,1171,28.7,No,WR140,1032.98,,0
K.J. Osborn,WR141,WR,WAS,1169,27.9,No,WR145,960,,0
Raheem Mostert,RB98,RB,LVR,1139,33.0,No,RB97,1036,,0
Dylan Laube,RB99,RB,LVR,1124,25.4,No,RB100,1003,,0
Jelani Woods,TE57,TE,IND,1120,26.5,No,TE56,1060,,0
Davis Allen,TE58,TE,LAR,1118,24.2,No,TE59,992,,0
Elijah Higgins,TE59,TE,ARI,1109,24.5,No,TE60,991,,0
Tim Patrick,WR142,WR,DET,1103,31.4,No,WR143,961,,0
Marquez Valdes-Scantling,WR143,WR,SEA,1090,30.5,No,WR141,1002.99,,0
Michael Carter,RB100,RB,ARI,1086,26.0,No,RB101,965,,0
Carson Steele,RB101,RB,KCC,1085,22.5,No,RB102,948,,0
Deuce Vaughn,RB102,RB,DAL,1077,23.5,No,RB99,1007,,0
Tyler Badie,RB103,RB,DEN,1076,25.2,No,RB104,931,,0
Sione Vaki,RB104,RB,DET,1072,23.7,No,RB105,926,,0
Sam Howell,QB45,QB,SEA,1068,24.6,No,QB44,1672.98,,0
Samaje Perine,RB105,RB,CIN,1067,29.6,No,RB108,889,,0
Van Jefferson,WR144,WR,TEN,1064,28.7,No,WR144,960.99,,0
Riley Leonard,QB46,QB,FA,1063,-1.0,Yes,QB64,841,,0
Mecole Hardman,WR145,WR,GBP,1055,27.1,No,WR147,953,,0
Terrace Marshall,WR146,WR,PHI,1051,24.9,No,WR146,959,,0
A.T. Perry,WR147,WR,DEN,1040,25.5,No,WR142,979,,0
Mason Tipton,WR148,WR,NOS,1037,24.6,No,WR148,943,,0
Pierre Strong Jr.,RB106,RB,CLE,1032,26.4,No,RB109,888,,0
Emari Demercado,RB107,RB,ARI,1031,26.2,No,RB107,894,,0
Foster Moreau,TE60,TE,NOS,1030,28.0,No,TE61,927,,0
Stone Smartt,TE61,TE,NYJ,1026,26.6,No,TE58,1012,,0
Jamari Thrash,WR149,WR,CLE,1025,24.3,No,WR151,906,,0
Trey Sermon,RB108,RB,IND,1017,26.2,No,RB110,879,,0
Tyler Johnson,WR150,WR,NYJ,995,26.7,No,WR150,905.99,,0
Allen Lazard,WR151,WR,NYJ,991,29.4,No,WR149,917,,0
Tyquan Thornton,WR152,WR,KCC,976,24.7,No,WR155,845,,0
Tyler Boyd,WR153,WR,TEN,972,30.4,No,WR154,852,,0
Isaiah Spiller,RB109,RB,LVR,971,23.7,No,RB111,877,,0
Jaheim Bell,TE62,TE,NEP,967,23.9,No,TE63,870,,0
Aidan O'Connell,QB47,QB,LVR,952,26.6,No,QB49,1414,,0
Terrance Ferguson,TE63,TE,FA,951.99,-1.0,Yes,TE64,851.99,,0
Jase McClellan,RB111,RB,ATL,949,22.8,No,RB103,934,,0
Gus Edwards,RB110,RB,FA,948.99,30.0,No,RB118,762,,0
Eric Gray,RB112,RB,NYG,948,25.5,No,RB106,895,,0
Tylan Wallace,WR154,WR,BAL,945,26.0,No,WR160,806,,0
Jeremy Ruckert,TE64,TE,NYJ,933,24.7,No,TE62,924,,0
KJ Hamler,WR155,WR,BUF,932.99,25.8,No,WR158,817,,0
David Bell,WR156,WR,CLE,920,24.4,No,WR152,867,,0
Clyde Edwards-Helaire,RB113,RB,NOS,919,26.0,No,RB112,816.99,,0
Hassan Haskins,RB114,RB,LAC,918.99,25.4,No,RB113,814,,0
D.J. Chark,WR157,WR,LAC,914,28.6,No,WR156,825,,0
Mac Jones,QB49,QB,SFO,913,26.6,No,QB46,1622,,0
Joe Flacco,QB48,QB,CLE,912.99,40.3,No,QB48,1475,,0
Tyler Scott,WR158,WR,CHI,898,23.5,No,WR159,813.99,,0
Chris Brooks,RB115,RB,GBP,882,25.3,No,RB119,721,,0
Brashard Smith,RB116,RB,FA,879,-1.0,Yes,RB117,769,,0
Tyler Shough,QB50,QB,FA,877,-1.0,Yes,QB52,1219,,0
Ainias Smith,WR159,WR,PHI,872,23.9,No,WR157,820,,0
Kenny McIntosh,RB117,RB,SEA,868,25.1,No,RB115,797,,0
Isaiah Hodgins,WR160,WR,SFO,842,26.5,No,WR153,853,,0
Zay Jones,WR161,WR,ARI,840,30.1,No,WR163,788,,0
Brock Wright,TE65,TE,DET,839,26.4,No,TE66,803,,0
Kendall Milton,RB118,RB,CIN,838.99,23.2,No,RB116,776,,0
Donovan Edwards,RB119,RB,FA,837,-1.0,Yes,RB114,802.99,,0
Irv Smith,TE66,TE,HOU,833,26.7,No,TE65,833,,0
Jordan Travis,QB51,QB,NYJ,820,25.0,No,QB55,1155,,0
Josh Reynolds,WR162,WR,NYJ,816,30.2,No,WR161,804,,0
Derius Davis,WR163,WR,LAC,808,24.6,No,WR164,763,,0
Tory Horton,WR164,WR,FA,807.99,-1.0,Yes,WR174,611,,0
Justyn Ross,WR165,WR,KCC,803,25.4,No,WR170,667,,0
Rakim Jarrett,WR166,WR,TBB,802,24.2,No,WR162,800,,0
Skyy Moore,WR167,WR,KCC,790,24.6,No,WR165,733,,0
Kenny Pickett,QB52,QB,CLE,778,26.9,No,QB41,1716,,0
Ryan Flournoy,WR168,WR,DAL,774,25.5,No,WR169,671,,0
Gardner Minshew,QB53,QB,KCC,766,28.9,No,QB54,1158.99,,0
Julius Chestnut,RB120,RB,TEN,764,24.5,No,RB124,593,,0
Justin Watson,WR169,WR,HOU,763.99,29.0,No,WR175,592,,0
Malik Heath,WR170,WR,GBP,754,25.1,No,WR167,705,,0
Hendon Hooker,QB54,QB,DET,747,27.3,No,QB53,1163,,0
Drew Lock,QB55,QB,SEA,746,28.4,No,QB56,1124,,0
D'Onta Foreman,RB121,RB,CLE,745,29.0,No,RB123,620,,0
Trayveon Williams,RB122,RB,CIN,733,27.5,No,RB121,621,,0
Devin Duvernay,WR171,WR,CHI,725,27.6,No,WR168,701,,0
Peyton Hendershot,TE67,TE,KCC,724,26.0,No,TE73,612,,0
Lil'Jordan Humphrey,WR172,WR,NYG,722,27.0,No,WR166,714,,0
LeQuint Allen,RB123,RB,FA,720,-1.0,Yes,RB120,672,,0
Kylen Granson,TE68,TE,PHI,718,27.1,No,TE71,652,,0
Zach Wilson,QB56,QB,MIA,709,25.7,No,QB47,1488,,0
Josh Whyle,TE69,TE,TEN,708,25.6,No,TE68,717,,0
Kalif Raymond,WR173,WR,DET,707,30.7,No,WR172,653,,0
Hayden Hurst,TE70,TE,LAC,704,31.7,No,TE67,743,,0
Cedrick Wilson,WR174,WR,NOS,701,29.4,No,WR173,614,,0
Trey Lance,QB57,QB,LAC,696,25.0,No,QB58,987,,0
Ronnie Rivers,RB124,RB,LAR,690,26.2,No,RB126,531,,0
Craig Reynolds,RB125,RB,DET,682,28.8,No,RB122,620.99,,0
Chris Evans,RB126,RB,CIN,681,27.6,No,RB127,522,,0
Adam Trautman,TE72,TE,DEN,675,28.2,No,TE70,681,,0
Josh Oliver,TE73,TE,MIN,659,28.1,No,TE69,691,,0
Sterling Shepard,WR175,WR,TBB,646,32.2,No,WR171,664,,0
Jalen Reagor,WR176,WR,LAC,636,26.3,No,WR176,552,,0
Travis Homer,RB127,RB,CHI,630,26.7,No,RB125,535,,0
Austin Hooper,TE74,TE,NEP,625,30.5,No,TE72,626,,0
DeeJay Dallas,RB128,RB,ARI,615,26.6,No,RB128,513,,0
Dorian Thompson-Robinson,QB58,QB,PHI,609,25.4,No,QB60,903,,0
Raheem Blackshear,RB129,RB,CAR,600,26.9,No,RB129,499,,0
Harrison Bryant,TE75,TE,PHI,577,27.0,No,TE74,562,,0
Hunter Long,TE76,TE,JAC,563,26.7,No,TE78,511,,0
Tip Reiman,TE77,TE,ARI,547,23.6,No,TE75,542,,0
Charlie Kolar,TE78,TE,BAL,545,26.2,No,TE76,527,,0
David Moore,WR184,WR,CAR,526,30.3,No,WR177,495,,0
Drew Sample,TE80,TE,CIN,511,29.0,No,TE77,515,,0
DJ Turner,WR188,WR,LVR,475,28.3,No,WR178,478,,0
Tyler Huntley,QB59,QB,MIA,449,27.2,No,QB62,876.99,,0
Tommy DeVito,QB60,QB,NYG,444,26.7,No,QB71,699,,0
Cooper Rush,QB61,QB,BAL,441,31.4,No,QB66,786,,0
Deshaun Watson,QB62,QB,CLE,436,29.6,No,QB59,938,,0
Desmond Ridder,QB63,QB,LVR,419,25.6,No,QB65,835,,0
Jake Browning,QB64,QB,CIN,409,29.0,No,QB57,1000,,0
Mason Rudolph,QB65,QB,PIT,399,29.8,No,QB51,1228.99,,0
Jacoby Brissett,QB66,QB,ARI,373,32.4,No,QB63,869,,0
Joshua Dobbs,QB67,QB,NEP,224,30.2,No,QB68,770,,0
Kyle McCord,QB69,QB,FA,210,-1.0,Yes,QB61,885,,0
Tyson Bagent,QB70,QB,CHI,209,24.9,No,QB70,718,,0
Tyrod Taylor,QB71,QB,NYJ,199,35.7,No,QB69,738,,0
Davis Mills,QB72,QB,HOU,197,26.5,No,QB75,597,,0
Stetson Bennett,QB73,QB,LAR,196,27.5,No,QB79,477.99,,0
Bailey Zappe,QB74,QB,KCC,188,26.0,No,QB73,655,,0
Kyle Trask,QB75,QB,TBB,183,27.1,No,QB76,586,,0
Jarrett Stidham,QB80,QB,DEN,178,28.7,No,QB74,640,,0
Marcus Mariota,QB88,QB,WAS,161,31.5,No,QB67,777,,0
Jake Haener,QB91,QB,NOS,125,26.1,No,QB77,554,,0
Andy Dalton,QB93,QB,CAR,99,37.5,No,QB72,679,,0
Taylor Heinicke,QB96,QB,LAC,36,32.1,No,QB78,523,,0
