Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
George Pickens,WR31,WR,PIT,5275,24.1,No,WR31,4328,,0
Brandon Aiyuk,WR32,WR,SFO,5189,27.1,No,WR32,4236,,0
Ricky Pearsall,WR33,WR,SFO,5183,24.6,No,WR36,4097,,0
T.J. Hockenson,TE5,TE,MIN,5173,27.8,No,TE5,4270,,0
2027 Late 1st,,PI,,5165,,,,4239,,0
Chris Godwin,WR34,WR,TBB,5142,29.2,No,WR34,4141,,0
Luther Burden,WR35,WR,FA,5130,-1.0,Yes,WR33,4210,,0
Jordan Love,QB12,QB,GBP,5072,26.5,No,QB12,6176,,0
Mike Evans,WR36,WR,TBB,5044,31.7,No,WR35,4101,,0
George Kittle,TE6,TE,SFO,5003,31.5,No,TE6,4096,,0
Kaleb Johnson,RB20,RB,FA,4958,-1.0,Yes,RB20,3905,,0
Colston Loveland,TE7,TE,FA,4923,-1.0,Yes,TE7,4063,,0
Jayden Reed,WR37,WR,GBP,4906,25.0,No,WR37,3893,,0
David Montgomery,RB21,RB,DET,4881,27.9,No,RB21,3851,,0
Tyreek Hill,WR38,WR,MIA,4875,31.2,No,WR39,3835,,0
2025 Early 2nd,,PI,,4838,,,,3840,,0
Joe Mixon,RB22,RB,HOU,4829,28.8,No,RB22,3843,,0
Jerry Jeudy,WR39,WR,CLE,4827,26.0,No,WR40,3825,,0
Kyler Murray,QB13,QB,ARI,4826,27.7,No,QB13,5727,,0
Matthew Golden,WR40,WR,FA,4814,-1.0,Yes,WR38,3889,,0
Josh Downs,WR41,WR,IND,4809,23.7,No,WR42,3793,,0
Khalil Shakir,WR42,WR,BUF,4785,25.2,No,WR41,3811,,0
Cam Ward,QB14,QB,FA,4783,-1.0,Yes,QB16,5477,,0
J.J. McCarthy,QB15,QB,MIN,4622,22.2,No,QB14,5553,,0
Alvin Kamara,RB23,RB,NOS,4602,29.8,No,RB23,3593,,0
Baker Mayfield,QB16,QB,TBB,4558,30.0,No,QB17,5461,,0
